League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
03/09/2019 23:00,JP1,FC_Tokyo,FC_Tokyo,Sagan_Tosu,2,0,48,4,2,2,0,4,2,1,0,2,0,0,0,0,0,0,47,20,56,11,4,7,0,11,4,2,0,0,0,0,1,0,0,0,55,34,442,3,1,1,0,0,1
03/09/2019 23:00,JP1,Sagan_Tosu,FC_Tokyo,Sagan_Tosu,0,2,52,6,2,4,0,4,2,0,0,2,0,0,0,0,0,0,49,25,44,1,0,1,0,8,3,1,0,2,0,1,3,0,0,0,25,12,4231,0,-1,0,0,1,1
03/09/2019 23:00,JP1,Vegalta_Sendai,Vegalta_Sendai,Kobe,1,3,39,12,3,9,0,6,3,1,0,5,0,0,0,0,0,0,42,31,37,8,3,5,0,9,2,2,0,1,0,0,0,0,0,0,50,30,343,0,1,0,0,1,-1
03/09/2019 23:00,JP1,Kobe,Vegalta_Sendai,Kobe,3,1,61,10,6,4,0,3,5,0,0,2,0,0,0,0,0,0,55,41,63,7,3,4,0,12,5,1,0,3,0,0,2,0,0,0,59,38,433,3,-1,1,0,0,-1
03/09/2019 23:00,JP1,Yokohama_M.,Yokohama_M.,Kawasaki_Frontale,2,2,51,5,2,3,0,14,2,2,0,1,0,0,1,0,0,0,49,33,53,9,2,7,0,10,5,2,0,4,0,0,3,0,0,0,43,39,433,1,1,0,1,0,0
03/09/2019 23:00,JP1,Kawasaki_Frontale,Yokohama_M.,Kawasaki_Frontale,2,2,49,7,2,5,0,10,4,1,0,1,0,0,0,0,0,0,40,36,47,10,5,5,0,7,3,0,0,1,0,0,1,0,0,0,39,35,442,1,-1,0,1,0,0
03/09/2019 01:00,JP1,C-Osaka,C-Osaka,Hiroshima,0,1,67,6,2,4,0,5,1,0,0,0,0,0,1,0,0,0,92,45,65,6,0,6,0,7,2,0,0,0,0,0,2,0,0,0,84,64,343,0,1,0,0,1,-1
03/09/2019 01:00,JP1,Hiroshima,C-Osaka,Hiroshima,1,0,33,5,1,4,0,4,1,0,0,2,0,0,1,0,0,0,57,32,35,5,0,5,0,7,0,1,0,0,0,0,0,0,0,0,50,28,343,3,-1,1,0,0,-1
03/09/2019 01:00,JP1,Kashima,Kashima,Shonan,1,0,52,5,2,3,0,7,5,2,0,1,0,0,0,0,0,0,30,30,62,9,2,7,0,4,1,0,0,0,0,0,1,0,0,0,38,31,442,3,1,1,0,0,1
03/09/2019 01:00,JP1,Shonan,Kashima,Shonan,0,1,48,3,1,2,0,4,0,0,0,2,0,1,3,0,0,0,34,29,38,6,0,6,0,10,1,3,0,1,0,0,0,0,0,0,36,26,343,0,-1,0,0,1,1
03/09/2019 00:00,JP1,G-Osaka,G-Osaka,Nagoya,2,3,51,5,4,1,0,8,1,0,0,1,0,0,0,0,0,0,49,30,49,5,2,3,0,8,2,1,0,2,0,0,1,0,0,0,59,33,442,0,1,0,0,1,-1
03/09/2019 00:00,JP1,Nagoya,G-Osaka,Nagoya,3,2,49,9,3,6,0,12,3,3,0,3,0,0,0,0,0,0,56,50,51,8,3,5,0,11,4,4,0,1,0,0,0,0,0,0,54,38,442,3,-1,1,0,0,-1
03/09/2019 00:00,JP1,Iwata,Iwata,Oita,1,2,49,6,2,4,0,9,3,1,0,3,0,1,0,0,0,0,44,28,24,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,42,14,343,0,1,0,0,1,-1
03/09/2019 00:00,JP1,Oita,Iwata,Oita,2,1,51,8,4,4,0,7,5,0,0,1,0,0,0,0,0,0,37,32,76,6,1,5,0,4,2,0,0,0,0,0,1,0,0,0,90,38,343,3,-1,1,0,0,-1
03/08/2019 23:00,JP1,Sapporo,Sapporo,Shimizu,5,2,46,9,2,7,0,2,6,0,0,1,0,0,0,0,0,0,53,38,50,13,3,10,0,0,3,0,0,1,0,0,0,0,0,0,59,46,3412,3,1,1,0,0,1
03/08/2019 23:00,JP1,Shimizu,Sapporo,Shimizu,2,5,54,8,2,6,0,8,3,0,0,0,0,0,0,0,0,0,75,47,50,9,2,7,0,3,4,2,0,0,0,0,0,0,0,0,64,45,4231,0,-1,0,0,1,1
03/08/2019 23:00,JP1,Yamaga,Yamaga,Urawa,0,1,51,6,1,5,0,9,3,3,0,1,0,0,0,0,0,0,49,26,49,4,1,3,0,9,5,2,0,0,0,0,1,0,0,0,63,34,3421,0,1,0,0,1,-1
03/08/2019 23:00,JP1,Urawa,Yamaga,Urawa,1,0,49,4,1,3,0,3,4,0,0,1,0,0,0,0,0,0,55,28,51,2,1,1,0,11,2,3,0,1,0,0,1,0,0,0,49,21,3142,3,-1,1,0,0,-1
